拆分：{⺁} [px]	⺁
拆分：{乙} [yi]	⺄
拆分：{⺈} [dk]	⺈
拆分：{⺋} [ee]	⺋
拆分：{⺌} [xc]	⺌
拆分：{⺗} [xn]	⺗
拆分：{⺧} [nq]	⺧
拆分：{⺻} [yv]	⺻
拆分：{⺼} [or] | 冂丶 [kd] | 丿丶 [pd]	⺼
拆分：{⻊} [zu]	⻊
拆分：{⻗} [yu]	⻗
拆分：{〇} [aa]	〇
拆分：{の} [aa]	の
拆分：一一 [aa]	㐀
拆分：一一 [aa] | 一口 [ak]	㐁
拆分：七七 [qq]	㐂
拆分：厶丨 [sa] | Δ丨 [da]	㐃
拆分：丨一 [aa] | {㐄} [fg]	㐄
拆分：丿丶 [pd] | {㐅} [ia]	㐅
拆分：丿𠃌 [pg]	㐆
拆分：𠂉也 [ry]	㐌
拆分：文乙 [wy]	㐎
拆分：吉乚 [jg]	㐖
拆分：求九 [qj]	㐜
拆分：九耎 [jr]	㐡
拆分：九真 [jv]	㐤
拆分：丶丿 [dp]	㐧
拆分：予予 [yy]	㐨
拆分：井井 [jj]	㐩
拆分：亠丶 [wd]	㐪
拆分：亠凶 [wx]	㐫
拆分：亠川 [wi]	㐬
拆分：亠回 [wh]	㐭
拆分：亠𧘇 [wd]	㐮
拆分：亠香 [wx]	㐯
拆分：亻口 [rk]	㐰
拆分：人彡 [rp]	㐱
拆分：亻大 [rd]	㐲
拆分：亻兀 [rw]	㐳
拆分：亻夕 [rx]	㐴
拆分：亻于 [ry]	㐵
拆分：亻巳 [rs]	㐶
拆分：亻马 [rm]	㐷
拆分：亻欠 [rq]	㐸
拆分：亻气 [rq]	㐹
拆分：亻人 [rr]	㐺
拆分：亻内 [rn]	㐻
拆分：亻升 [ru]	㐼
拆分：亻风 [rf]	㐽
拆分：亻元 [ry]	㐾
拆分：亻太 [rt]	㑀
拆分：亻出 [ri]	㑁
拆分：亻丙 [rb]	㑂
拆分：亻幼 [ry]	㑃
拆分：亻母 [rm]	㑄
拆分：亻一 [ra] | 亻上 [ru]	㑅
拆分：亻兄 [rx]	㑆
拆分：亻刍 [ri]	㑇
拆分：亻东 [rd]	㑈
拆分：亻夙 [rs]	㑉
拆分：亻亦 [ry]	㑊
拆分：亻曲 [rq]	㑋
拆分：亻匡 [rk]	㑌
拆分：亻耒 [rl]	㑍
拆分：亻山 [ru]	㑎
拆分：亻守 [ru]	㑏
拆分：亻尗 [ru]	㑐
拆分：亻自 [rz]	㑑
拆分：人丶 [rd]	㑒
拆分：亻友 [ry]	㑓
拆分：亻页 [ry]	㑔
拆分：亻岁 [rs]	㑕
拆分：亻仲 [rv]	㑖
拆分：亻身 [ru]	㑗
拆分：亻戒 [rj]	㑘
拆分：亻乚 [rg]	㑙
拆分：亻那 [rn]	㑚
拆分：亻束 [ru]	㑛
拆分：亻折 [rv]	㑜
拆分：亻弄 [rn]	㑝
